PR Number,Grant Number,Pgrp / Center,Proposal Title,PI Name,Technical Officer,Institution,Award Date,Performance Start Date,Performance End Date,Status,Congressional Directed Item,"[{u'bibcode': u'2013IJAEO..23..192K'}, {u'bibcode': u'2013IJAEO..23..213J'}, {u'bibcode': u'2013IJAEO..23..245D'}, {u'bibcode': u'2013IJAEO..23..334R'}, {u'bibcode': u'2013IJAEO..23..132A'}, {u'bibcode': u'2013IJAEO..23..142S'}, {u'bibcode': u'2013NewA...22...22C'}, {u'bibcode': u'2013NewA...22...51U'}, {u'bibcode': u'2013CNSNS..18.1939L'}, {u'bibcode': u'2013CNSNS..18.1970M'}, {u'bibcode': u'2013CNSNS..18.2066Z'}, {u'bibcode': u'2013CNSNS..18.2177P'}, {u'bibcode': u'2013CNSNS..18.2188T'}, {u'bibcode': u'2013CNSNS..18.2222Z'}, {u'bibcode': u'2013NewA...21...27L'}, {u'bibcode': u'2013NewA...21...40L'}, {u'bibcode': u'2013NewA...21...50K'}, {u'bibcode': u'2013CNSNS..18.1568S'}, {u'bibcode': u'2013CNSNS..18.1623R'}, {u'bibcode': u'2013CNSNS..18.1652F'}]"
4200156964,NNX06AB03G,HQ,VOLCANIC PLUMES ON MARS AND VENUS,LORI GLAZE,STEVE SAUNDERS,PROXEMY RESEARCH INC.,6/8/06,5/15/06,5/14/09,AWARDED,NO,no hits,[{u'bibcode': u'2008JASTP..70..598L'}]
4200155925,NNX06AB18G,HQ,THE ROLE OF WATER IN THE EARLY FORMATION OF MARS,LINDA ELKING-TANTON,MARILYN LINDSTROM,BROWN UNIVERSITY,6/8/06,5/10/06,5/9/09,AWARDED,NO,no hits,[{u'bibcode': u'2008JASTP..70..598L'}]
4200156263,NNX06AB21G,HQ,ASSESSING THE PRESERVATION OF FLUVIAL PATHWAYS,REBECCA WILLIAMS,MARILYN LINDSTROM,PLANETARY SCIENCE INSTITUTE,6/8/06,6/1/06,5/31/09,AWARDED,NO,"[{u'bibcode': u'2010JGRE..115.7011B'}, {u'bibcode': u'2009Geomo.107..300W'}]"
4200158627,NNX06AB88G,HQ,A PHOTOMETRY-BASED MODEL OF GLOBAL THERMOSPHERIC COLUMN O/N2 DRIVEN BY SOLAR AND MAGNETOSPHERIC,KAN LIOU,MADHULIKA GUHATHAKURTA,JOHNS HOPKINS UNIVERSITY,6/8/06,6/1/06,5/31/09,AWARDED,NO,"[{u'bibcode': u'2010JGRA..11512219L'}, {u'bibcode': u'2007JGRA..112.9104W'}, {u'bibcode': u'2007AdSpR..40.1827W'}]"
4200158867,NNX06AC91H,SSC,SPECTRAL FINGERPRINTING OF HYDROCARBONS USING A NEW EXCITATION-EMISSION FLUOROMETER,GREGORY CARTER,KATIE WALLACE,UNIVERSITY OF SOUTHERN MISSISSIPPI,6/8/06,5/24/06,5/23/09,AWARDED,NO,no hits,"[{u'bibcode': u'2010JGRA..11512219L'}, {u'bibcode': u'2007JGRA..112.9104W'}, {u'bibcode': u'2007AdSpR..40.1827W'}]"
4200158867,NNX06AC91H,SSC,SPECTRAL FINGERPRINTING OF HYDROCARBONS USING A NEW EXCITATION-EMISSION FLUOROMETER,GREGORY CARTER,KATIE WALLACE,UNIVERSITY OF SOUTHERN MISSISSIPPI,6/8/06,5/24/06,5/23/09,AWARDED,NO,no hits,"[{u'bibcode': u'2010JGRA..11512219L'}, {u'bibcode': u'2007JGRA..112.9104W'}, {u'bibcode': u'2007AdSpR..40.1827W'}]"
4200157233,NNX06AB29G,HQ,GEOLOGICAL MAPPING OF VENUS CHARACTERIZATION OF SOME MAJOR TOPOGRAPHIC FEATURES AND DEVELOPING CRITE,JAMES HEAD,STEVE SAUNDERS,BROWN UNIVERSITY,6/9/06,5/10/06,5/9/07,AWARDED,NO,no hits,"[{u'bibcode': u'2010JGRA..11512219L'}, {u'bibcode': u'2007JGRA..112.9104W'}, {u'bibcode': u'2007AdSpR..40.1827W'}]"
4200156173,NNX06AB33G,HQ,CHRONOLOGICAL AND MINERALOGICAL STUDIES,STEPHEN SYMES,MARILYN LINDSTROM,UT,6/9/06,7/17/06,7/16/09,AWARDED,NO,no hits,"[{u'bibcode': u'2010JGRA..11512219L'}, {u'bibcode': u'2007JGRA..112.9104W'}, {u'bibcode': u'2007AdSpR..40.1827W'}]"
4200156251,NNX06AB66G,GSFC,A-TRAIN DEPOT INTEGRATING ATMOSPHERIC MEASUREMENTS ALONG THE A-TRAIN TRACKS UTILIZING DATA AQUA,DON REINKE,STEVEN KEMPLER,COLORADO STATE UNIVERSITY,6/9/06,5/9/06,5/8/08,AWARDED,NO,no hits,"[{u'bibcode': u'2010JGRA..11512219L'}, {u'bibcode': u'2007JGRA..112.9104W'}, {u'bibcode': u'2007AdSpR..40.1827W'}]"
4200159649,NNX06AC37G,HQ,SELF CONSISTENT SOLAR ENERGETIC PARTICLE ACCELERATION AT EVOLVE SHOCKS ASSOCIATED W/MASS EJECTION,JAKOBUS LE ROUX,MADHULIKA GUHATHAKURTA,REGENTS OF THE UNIVERSITY OF CALIFORNIA,6/9/06,5/26/06,5/25/09,AWARDED,NO,no hits,"[{u'bibcode': u'2010JGRA..11512219L'}, {u'bibcode': u'2007JGRA..112.9104W'}, {u'bibcode': u'2007AdSpR..40.1827W'}]"
4200157262,NNX06AC61G,HQ,GEOLOGIC MAPPING OF THE MARTIAN IMPACT CRATER TOOTING,PETER MOUGINIS-MARK,STEVE SAUNDERS,UNIVERSITY OF HAWAII,6/9/06,5/31/06,5/30/09,AWARDED,NO,[{u'bibcode': u'2010Icar..209..369M'}]
4200157263,NNX06AB26G,HQ,MODELS AND CODE CALCULATIONS OF IMPACT PROCESSES IN ASTEROIDS AND SOLAR SYSTEM BODIES,KEITH HOLSAPPLE,STEVE SAUNDERS,UNIVERSITY OF WASHINGTON,6/12/06,5/10/06,5/9/09,AWARDED,NO,"[{u'bibcode': u'2009LPI....40.2053H'}, {u'bibcode': u'2009P&SS...57..127H'}]"
4200155929,NNX06AB53G,HQ,SPECTROSCOPY OF NATURAL GLASSES AND CONSTRAINTS ON MINERAL DETECTABILITY IN THE MIDDLE INFRARED,VICTORIA HAMILTON,MARILYN LINDSTROM,UNIVERSITY OF HAWAII,6/12/06,5/10/06,5/9/08,AWARDED,NO,no hits,"[{u'bibcode': u'2009LPI....40.2053H'}, {u'bibcode': u'2009P&SS...57..127H'}]"
4200157839,NNX06AB61G,HQ,TEMPERATURE DEPENDENCE OF OXYGEN ATOM RECOMBINATION,DAVID HUESTIS,PHILIP RICHARDS,SRI INTERNATIONAL,6/12/06,6/1/06,5/31/07,AWARDED,NO,no hits,"[{u'bibcode': u'2009LPI....40.2053H'}, {u'bibcode': u'2009P&SS...57..127H'}]"
