Org Code,Action,Register Number,Award Number,Institution,City,State,Zip Code,Principal Investigator,Total Funding Planned,Total Funding to Date,Project Start Date,Project End Date,Most Recent Award Date,Title,Award Type,Program Manager,Institution Type
SC-22.12,Renewal,ER14616,DE-FG02-96ER14616,JOHNS HOPKINS UNIVERSITY                          ,Baltimore,MD,21218,"Sverjensky, Dimitri",455507,348273,1/1/12,12/31/14,12/28/11,Predictive Surface Complexation Modeling,Grant,"Woodward, Nicholas",Educational
SC-22.13,Renewal,ER14617,DE-FG02-96ER14617,TULANE EDUCATIONAL FUND                           ,New Orleans,LA,70118,"Schmehl, Russell",482586,328865,6/1/11,5/31/14,9/17/11,Energy Electron Transfer and Photocatalytic Reactions of Visible Light Absorbing Transition Metal Complexes,Grant,"Spitler, Mark",Educational
SC-22.12,Renewal,ER14630,DE-FG02-96ER14630,WASHINGTON UNIV OF SEATTLE                      ,Seattle,WA,98105-4683,"Campbell, Charles",605000,605000,3/15/11,3/14/14,9/7/11,Supported Metal Nanoparticles: Correlating Catalytic Kinetics Energetics and Surface Structure,Grant,"Miranda, Raul",Educational
SC-22.13,Renewal,ER14632,DE-FG02-96ER14632,NORTH CAROLINA STATE UNIVERSITY                   ,Raleigh,NC,27695-7514,"Lindsey, Jonathan",660000,660000,5/15/11,5/14/14,5/11/11,Fundamental Studies of Hydroporphyrin Architectures for Solar Energy Applications,Grant,"Spitler, Mark",Educational
SC-22.12,Renewal,ER14633,DE-FG02-96ER14633,NEW YORK STATE U. OF ST BROOK                    ,Stony Brook,NY,11794-3362,"Schoonen, Martin A. A.",100000,100000,7/1/12,6/30/13,5/25/12,Investigations of Redox Reactions in High-Ionic-Strength Aqueous Systems,Grant,"Woodward, Nicholas",Educational
SC-22.11,Renewal,ER14645,DE-FG02-96ER14645,NORTH DAKOTA STATE UNIVERSITY                     ,Fargo,ND,58105,"Hershberger, John",270000,180000,7/15/11,5/14/14,8/4/11,Kinetics and Product Channel Studies in Combustion Chemistry,Grant,"Sisk, Wade",Educational
SC-22.11,Renewal,ER14646,DE-FG02-96ER14646,NEBRASKA UNIVERSITY OF LINCOLN                   ,Lincoln,NE,68588-0430,"Starace, Anthony",360000,240000,6/1/11,5/31/14,9/13/11,Dynamics of Few-Body Atomic Processes,Grant,"Krause, Jeffrey",Educational
SC-22.11,Renewal,ER14647,DE-FG02-96ER14647,COLORADO STATE UNIVERSITY                         ,Fort Collins,CO,80523-2002,"Lundeen, Stephen",390000,260000,11/1/11,10/31/14,12/28/11,Properties of Actinide Ions from Measurements of Rydberg Ion Fine Structure,Grant,"Krause, Jeffrey",Educational
SC-22.11,Renewal,ER14656,DE-FG02-96ER14656,PURDUE UNIVERSITY                                 ,West Lafayette,IN,47907-2114,"Zwier, Timothy",70000,70000,2/15/13,2/14/14,2/5/13,Isomer-specific spectroscopy of neutrals ions and pyrolysis products related to biofuel extraction,Grant,"Sisk, Wade",Educational
SC-22.11,Renewal,ER14658,DE-FG02-96ER14658,GEORGIA UNIVERSITY OF RESEARCH FOUND. INC        ,Athens,GA,30602-5016,"Duncan, Michael",408000,312000,11/15/11,11/14/14,1/27/12,Transition Metal Chemistry Studied with Cluster Ion Infrared Spectroscopy,Grant,"Fiechtner, Gregory",Educational
SC-22.13,Renewal,ER14662,DE-FG02-96ER14662,JOHNS HOPKINS UNIVERSITY                          ,Baltimore,MD,21218,"Meyer, Gerald",460000,295000,11/15/11,11/14/14,11/14/11,Electron Transfer Dynamics in Efficient Molecular Solar Cells,Grant,"Spitler, Mark",Educational
SC-22.13,Renewal,ER14684,DE-FG02-96ER14684,NORTHWESTERN UNIVERSITY                           ,Evanston,IL,60208-1110,"Lewis, Frederick",540000,360000,7/15/11,7/14/14,9/21/11,Light-Driven Charge Transfer in Face-to-Face Donor-Spacer-Acceptor Supramolecular Systems,Grant,"Spitler, Mark",Educational
SC-22.11,Renewal,ER14743,DE-FG02-97ER14743,CLARK ATLANTA UNIVERSITY                          ,Atlanta,GA,30314,"Msezane, Alfred",240000,240000,4/1/10,3/31/13,9/15/10,Electron/Photon Interactions with Atoms/Ions,Grant,"Krause, Jeffrey",Educational
SC-22.12,Renewal,ER14749,DE-FG02-97ER14749,CALIFORNIA UNIV. OF DAVIS                        ,Davis,CA,95618,"Navrotsky, Alexandra",1030559,500375,6/1/11,5/31/15,8/10/11,Thermodynamics of Minerals Stable Near the Earth's Surface,Grant,"Woodward, Nicholas",Educational
SC-22.12,Renewal,ER14751,DE-FG02-97ER14751,VIRGINIA POLYTECHNIC INST AND ST UNIV             ,Blacksburg,VA,24060-0170,"Cox, David",465000,155000,5/1/12,4/30/15,5/29/12,Hydrocarbon Oxidation Dehydrogenation and Coupling Over Model Metal Oxide Surfaces,Grant,"Miranda, Raul",Educational
SC-22.11,Renewal,ER14799,DE-FG02-97ER14799,GEORGIA TECH RESEARCH CORP                        ,Atlanta,GA,30332-0420,"El-Sayed, Mostafa",288000,144000,6/1/12,5/31/14,7/3/12,Time Resolved Optical Studies on the Plasmonic Field Enhancement of Bacteriorhodopsin Proton Photo-current,Grant,"Fiechtner, Gregory",Educational
SC-22.12,Renewal,ER14807,DE-FG02-97ER14807,COLUMBIA UNIVERSITY                               ,New York,NY,10027-7922,"Norton, Jack",495000,495000,6/1/10,5/31/13,7/31/10,Catalytic Applications of H Atom Transfer from Transition-Metal Hydride Complexes,Grant,"Maupin, Paul",Educational
SC-22.11,Renewal,ER14814,DE-FG02-97ER14814,CALIFORNIA INST. OF TECHNOLOGY                    ,Pasadena,CA,91125,"McKoy, B. Vincent",385000,385000,11/15/10,11/14/13,12/6/10,Electron-Driven Processes in Polyatomic Molecules,Grant,"Krause, Jeffrey",Educational
